Year,Threat_Category,Layer,Severity,Incident_Count,Mitigation_Effectiveness,Reported_Cases
2021,DDoS Attack,SaaS,Low,47,8.7,59
2021,Insider Threat,IaaS,High,44,2.7,31
2020,API Abuse,SaaS,Medium,58,9.7,36
2019,Malware Injection,IaaS,Low,22,6.1,25
2020,DDoS Attack,SaaS,Low,65,6.5,38
2022,Misconfiguration,IaaS,Low,29,5.0,28
2020,Phishing,IaaS,Medium,38,5.3,18
2024,Malware Injection,PaaS,Medium,1,3.7,1
2022,Phishing,SaaS,High,54,7.5,60
2020,Malware Injection,PaaS,Low,38,4.1,32
2024,Misconfiguration,IaaS,Medium,31,3.5,36
2019,Container Escape,PaaS,Low,47,5.6,25
2019,Insider Threat,PaaS,Medium,44,8.2,41
2024,Zero-Day Vulnerability,IaaS,High,36,6.4,20
2024,Malware Injection,PaaS,Low,15,6.0,12
2024,Phishing,IaaS,Low,8,4.3,8
2022,Malware Injection,SaaS,High,50,7.1,48
2024,API Abuse,PaaS,Medium,31,6.4,38
2019,Phishing,PaaS,Low,17,6.1,14
2022,Container Escape,PaaS,Medium,20,5.4,14
2022,Supply Chain Compromise,IaaS,Medium,71,4.4,73
2024,Zero-Day Vulnerability,IaaS,Low,18,7.2,14
2022,Phishing,SaaS,Medium,48,5.5,57
2022,Zero-Day Vulnerability,IaaS,High,67,2.8,64
2024,Container Escape,IaaS,Medium,45,5.2,24
2019,Misconfiguration,SaaS,Low,14,8.9,12
2019,Data Breach,PaaS,High,61,2.5,36
2021,DDoS Attack,SaaS,Low,19,8.7,10
2019,Supply Chain Compromise,IaaS,High,52,2.0,45
2023,Insider Threat,SaaS,Low,1,7.3,0
2019,Supply Chain Compromise,IaaS,Low,1,7.8,1
2022,Misconfiguration,IaaS,Medium,64,6.8,58
2023,Supply Chain Compromise,SaaS,High,49,5.1,26
2020,Insider Threat,PaaS,Medium,19,5.6,12
2024,Supply Chain Compromise,IaaS,Medium,16,3.6,16
2023,Misconfiguration,PaaS,Low,2,9.6,1
2019,Misconfiguration,SaaS,Low,52,4.8,61
2023,Supply Chain Compromise,PaaS,High,91,5.0,40
2024,Phishing,PaaS,Low,13,10.0,10
2024,Malware Injection,PaaS,High,56,3.5,55
2021,DDoS Attack,SaaS,Low,48,6.5,26
2020,Malware Injection,IaaS,Low,1,4.5,0
2023,API Abuse,IaaS,Medium,30,5.6,13
2024,API Abuse,IaaS,Medium,41,7.5,21
2023,Data Breach,SaaS,Low,67,6.0,66
2023,Zero-Day Vulnerability,IaaS,High,90,5.3,53
2019,Container Escape,SaaS,Low,30,6.8,14
2020,Zero-Day Vulnerability,SaaS,Medium,78,3.9,43
2021,Data Breach,PaaS,Medium,52,4.4,32
2019,API Abuse,PaaS,Low,1,6.6,0
2019,Phishing,IaaS,High,27,6.7,12
2023,Data Breach,IaaS,High,69,4.7,41
2019,Supply Chain Compromise,IaaS,Low,42,5.7,42
2023,Misconfiguration,PaaS,Medium,50,5.2,43
2024,Insider Threat,PaaS,Low,16,9.8,20
2019,API Abuse,SaaS,Medium,32,7.8,26
2023,Zero-Day Vulnerability,IaaS,High,73,1.0,45
2023,Insider Threat,PaaS,High,50,6.2,24
2019,Container Escape,IaaS,Low,33,7.7,34
2019,Data Breach,SaaS,Low,33,8.1,34
2021,Zero-Day Vulnerability,PaaS,Low,29,9.6,22
2020,Malware Injection,IaaS,Low,20,6.7,8
2019,Supply Chain Compromise,IaaS,High,86,3.3,50
2021,Insider Threat,PaaS,Low,1,7.3,1
2021,Zero-Day Vulnerability,IaaS,Medium,54,6.7,22
2023,Malware Injection,IaaS,Low,1,7.1,0
2020,DDoS Attack,SaaS,Low,61,6.7,61
2022,Misconfiguration,PaaS,Low,1,6.0,1
2020,Supply Chain Compromise,IaaS,High,34,4.2,21
2023,Phishing,SaaS,Medium,61,7.6,44
2020,Container Escape,PaaS,Low,31,6.4,24
2024,Malware Injection,IaaS,Medium,32,6.2,29
2019,Malware Injection,IaaS,Low,18,7.8,16
2021,Supply Chain Compromise,PaaS,Low,49,7.5,39
2019,Zero-Day Vulnerability,IaaS,Low,24,6.8,14
2020,Insider Threat,SaaS,Low,1,5.4,0
2021,Misconfiguration,PaaS,Low,33,8.2,22
2019,Insider Threat,PaaS,High,37,1.0,35
2021,Supply Chain Compromise,IaaS,Low,31,6.2,24
2019,Container Escape,IaaS,Low,1,7.2,1
2022,Misconfiguration,SaaS,Medium,16,7.5,6
2024,Misconfiguration,SaaS,Low,1,9.4,0
2023,DDoS Attack,IaaS,Low,38,4.8,30
2019,Insider Threat,IaaS,Low,8,7.0,6
2024,DDoS Attack,SaaS,High,100,4.7,43
2020,Misconfiguration,SaaS,Medium,32,5.1,36
2021,Supply Chain Compromise,SaaS,Low,34,8.2,27
2024,API Abuse,PaaS,Low,3,8.1,2
2022,Phishing,IaaS,Low,25,9.7,24
2019,Misconfiguration,PaaS,Medium,15,5.3,11
2023,Container Escape,PaaS,Medium,59,5.3,64
2024,Data Breach,PaaS,Low,21,6.7,17
2024,Container Escape,SaaS,Medium,63,5.8,49
2024,Phishing,IaaS,Low,4,5.6,3
2021,Data Breach,PaaS,Low,44,4.7,43
2024,API Abuse,PaaS,Low,7,9.3,2
2022,Malware Injection,PaaS,Medium,1,9.7,0
2023,API Abuse,PaaS,Low,12,8.4,15
2024,Malware Injection,PaaS,High,90,1.0,84
2023,DDoS Attack,IaaS,Low,61,8.0,79
2024,Container Escape,PaaS,Low,1,6.8,0
2020,Container Escape,IaaS,Low,37,6.8,17
2019,Container Escape,PaaS,Low,21,6.8,20
2023,Misconfiguration,PaaS,Medium,64,3.2,38
2021,Misconfiguration,IaaS,Low,41,8.4,18
2024,Insider Threat,IaaS,High,34,2.2,26
2023,Zero-Day Vulnerability,PaaS,Medium,70,8.1,32
2023,Zero-Day Vulnerability,IaaS,Low,26,8.9,24
2022,API Abuse,IaaS,Medium,10,4.9,8
2022,Malware Injection,PaaS,High,36,2.9,38
2020,Insider Threat,PaaS,Medium,40,6.4,26
2023,Misconfiguration,SaaS,Medium,32,6.7,22
2020,Data Breach,IaaS,High,48,3.2,29
2021,Phishing,PaaS,Medium,59,5.0,71
2024,Misconfiguration,IaaS,Low,1,9.9,0
2020,Misconfiguration,IaaS,Medium,54,3.5,56
2024,Malware Injection,PaaS,High,54,6.1,56
2019,Supply Chain Compromise,IaaS,Medium,38,2.5,27
2021,Data Breach,PaaS,Low,16,7.7,14
2024,Data Breach,PaaS,Medium,21,6.2,13
2024,API Abuse,PaaS,Low,27,8.1,29
2019,Phishing,SaaS,High,61,3.3,41
2024,Insider Threat,PaaS,Low,5,7.3,2
2019,Zero-Day Vulnerability,SaaS,Medium,92,3.8,97
2022,Container Escape,SaaS,Medium,42,1.2,39
2020,Misconfiguration,SaaS,Medium,42,3.6,16
2022,Misconfiguration,IaaS,High,86,3.8,53
2023,API Abuse,IaaS,Low,9,8.1,11
2022,API Abuse,IaaS,Medium,34,8.7,32
2024,Malware Injection,IaaS,Low,55,9.7,30
2022,Insider Threat,IaaS,Medium,29,5.6,28
2019,Data Breach,IaaS,Low,49,5.0,36
2020,Container Escape,PaaS,Low,43,5.4,31
2024,Supply Chain Compromise,IaaS,Low,25,4.6,23
2020,Supply Chain Compromise,IaaS,Low,11,7.0,8
2019,Malware Injection,PaaS,High,71,1.5,70
2023,Zero-Day Vulnerability,IaaS,Medium,31,3.5,18
2021,API Abuse,IaaS,High,39,4.8,43
2024,Zero-Day Vulnerability,PaaS,Medium,61,9.5,34
2024,Container Escape,PaaS,Medium,45,4.1,45
2019,Zero-Day Vulnerability,PaaS,Low,26,5.1,18
2023,Zero-Day Vulnerability,PaaS,Low,16,6.9,15
2024,Misconfiguration,IaaS,Low,40,7.5,40
2019,Misconfiguration,SaaS,High,40,3.8,24
2020,Insider Threat,IaaS,Low,50,9.0,33
2024,API Abuse,IaaS,Medium,52,8.6,41
2021,Insider Threat,IaaS,Low,2,8.1,1
2021,Zero-Day Vulnerability,PaaS,Low,56,7.9,60
2021,DDoS Attack,SaaS,Medium,53,7.3,55
2020,Insider Threat,PaaS,Medium,45,2.3,50
2019,Phishing,SaaS,High,46,3.0,42
2021,Supply Chain Compromise,PaaS,Medium,38,6.8,39
2022,Data Breach,PaaS,Low,42,7.3,44
2020,Insider Threat,IaaS,Low,1,7.9,1
2022,Container Escape,IaaS,Low,1,8.3,0
2019,Supply Chain Compromise,IaaS,Low,22,6.3,19
2021,Zero-Day Vulnerability,PaaS,Medium,35,6.3,18
2021,Malware Injection,PaaS,Medium,35,6.8,44
2024,Insider Threat,PaaS,Medium,31,6.4,29
2022,Misconfiguration,SaaS,Medium,45,3.4,20
2024,Insider Threat,PaaS,Low,1,8.9,0
2019,Misconfiguration,IaaS,Medium,39,6.7,26
2024,Data Breach,SaaS,Low,46,10.0,33
2023,Insider Threat,SaaS,Low,34,7.2,39
2024,Misconfiguration,IaaS,Medium,51,6.2,65
2019,Malware Injection,IaaS,Medium,28,7.1,24
2020,Malware Injection,PaaS,Medium,18,4.9,21
2024,Phishing,IaaS,High,70,5.6,29
2023,Misconfiguration,IaaS,Low,1,7.1,0
2020,Malware Injection,SaaS,Low,1,9.1,1
2019,Container Escape,PaaS,Medium,60,3.2,28
2023,Data Breach,IaaS,High,80,4.6,40
2020,Misconfiguration,IaaS,Low,1,7.5,0
2022,Insider Threat,SaaS,Medium,45,3.1,44
2020,Supply Chain Compromise,PaaS,High,62,4.9,50
2019,DDoS Attack,SaaS,Low,26,7.4,16
2019,Supply Chain Compromise,PaaS,Low,89,6.4,113
2019,Supply Chain Compromise,IaaS,Low,26,8.6,32
2023,Phishing,IaaS,High,46,4.8,36
2022,Zero-Day Vulnerability,SaaS,Low,33,8.5,39
2020,Insider Threat,PaaS,Low,7,7.5,4
2022,Malware Injection,IaaS,Low,1,7.5,0
2022,Zero-Day Vulnerability,IaaS,Low,57,6.5,52
2019,Supply Chain Compromise,IaaS,Medium,46,5.6,45
2022,Supply Chain Compromise,SaaS,High,58,5.1,27
2024,Data Breach,SaaS,High,88,2.1,101
2024,Misconfiguration,SaaS,Medium,16,5.2,20
2021,Supply Chain Compromise,IaaS,Low,20,7.3,9
2022,Data Breach,SaaS,Medium,44,5.6,26
2024,Zero-Day Vulnerability,IaaS,Low,1,5.0,1
2021,Container Escape,IaaS,High,81,4.2,50
2020,Container Escape,PaaS,Medium,27,5.7,24
2024,Misconfiguration,IaaS,Medium,14,7.3,13
2022,Insider Threat,SaaS,Low,48,7.3,23
2019,Data Breach,IaaS,Low,9,3.7,5
2023,API Abuse,IaaS,Medium,17,4.6,16
2023,Phishing,IaaS,Low,45,6.7,32
2019,Zero-Day Vulnerability,SaaS,High,90,6.1,48
2023,DDoS Attack,PaaS,Medium,83,6.5,56
2020,Supply Chain Compromise,PaaS,High,51,4.8,57
2024,Data Breach,PaaS,Medium,32,7.5,38
2022,API Abuse,IaaS,Low,7,8.0,6
2021,Data Breach,SaaS,Low,26,5.9,22
2019,Supply Chain Compromise,IaaS,Low,30,6.8,36
2019,Misconfiguration,SaaS,Low,12,6.4,5
2021,Data Breach,IaaS,High,64,2.7,68
2024,Container Escape,PaaS,Medium,49,4.7,51
2022,Data Breach,PaaS,Medium,29,1.1,33
2023,Insider Threat,PaaS,Medium,26,6.6,26
2021,Phishing,PaaS,High,90,3.3,37
2024,DDoS Attack,IaaS,Medium,31,4.7,18
2022,Phishing,SaaS,Low,1,8.0,0
2020,Container Escape,IaaS,Low,28,9.3,31
2019,Data Breach,IaaS,High,63,4.3,80
2021,Misconfiguration,IaaS,Medium,57,4.7,23
2020,Malware Injection,PaaS,Low,26,9.2,31
2019,Zero-Day Vulnerability,IaaS,High,56,3.6,37
2019,Data Breach,PaaS,Low,15,7.1,14
2019,API Abuse,SaaS,Medium,38,6.7,27
2019,DDoS Attack,SaaS,High,76,2.7,55
2019,Zero-Day Vulnerability,SaaS,Low,16,8.6,11
2019,Data Breach,SaaS,Medium,100,4.0,121
2024,Malware Injection,SaaS,Medium,49,5.9,50
2022,Supply Chain Compromise,PaaS,High,65,1.6,59
2021,Malware Injection,SaaS,Medium,44,5.2,53
2021,Phishing,PaaS,Medium,32,4.9,36
2021,Zero-Day Vulnerability,PaaS,Medium,32,6.8,34
2021,Data Breach,IaaS,Low,14,9.0,16
2024,DDoS Attack,SaaS,Medium,53,7.4,48
2021,Data Breach,IaaS,Medium,63,3.6,46
2019,DDoS Attack,SaaS,Low,18,6.3,11
2021,DDoS Attack,IaaS,Low,32,6.0,28
2024,DDoS Attack,IaaS,Medium,53,6.8,27
2021,Misconfiguration,PaaS,High,36,5.1,19
2022,Supply Chain Compromise,SaaS,Low,32,7.0,41
2020,Data Breach,SaaS,Low,26,8.6,16
2022,API Abuse,SaaS,High,35,1.0,28
2022,Malware Injection,IaaS,High,71,1.0,52
2021,Container Escape,IaaS,Low,16,7.5,9
2020,Misconfiguration,IaaS,High,33,5.7,17
2019,Misconfiguration,PaaS,Medium,31,6.8,17
2022,Supply Chain Compromise,IaaS,Medium,58,6.2,45
2020,Zero-Day Vulnerability,IaaS,Low,60,8.1,65
2021,Supply Chain Compromise,IaaS,High,78,4.8,91
2024,Container Escape,IaaS,Low,22,5.7,21
2024,Supply Chain Compromise,IaaS,Low,25,7.6,26
2019,Supply Chain Compromise,IaaS,Low,42,7.4,47
2022,API Abuse,SaaS,Medium,42,4.7,27
2022,Malware Injection,SaaS,Low,1,6.5,0
2019,API Abuse,IaaS,Low,26,3.3,18
2023,API Abuse,IaaS,Low,14,7.0,14
2019,Container Escape,SaaS,Medium,17,6.6,8
2023,API Abuse,PaaS,Low,50,5.4,29
2022,Phishing,SaaS,Low,1,7.1,0
2024,API Abuse,PaaS,High,28,4.5,29
2019,Misconfiguration,IaaS,Low,1,6.9,0
2024,Malware Injection,IaaS,Low,5,9.0,3
2023,Supply Chain Compromise,IaaS,Medium,74,5.1,92
2024,DDoS Attack,IaaS,Medium,50,4.1,44
2022,Container Escape,PaaS,Medium,16,7.2,15
2022,Misconfiguration,IaaS,Low,26,9.9,28
2021,Data Breach,SaaS,Low,15,5.2,7
2021,Insider Threat,PaaS,Low,1,7.0,1
2020,Container Escape,SaaS,Low,20,8.1,9
2019,Zero-Day Vulnerability,PaaS,Low,46,6.0,41
2023,Malware Injection,PaaS,Medium,22,5.3,12
2020,Zero-Day Vulnerability,SaaS,Medium,39,7.3,20
2024,Supply Chain Compromise,PaaS,Medium,38,5.2,35
2023,Insider Threat,IaaS,Low,1,7.0,0
2024,Data Breach,PaaS,Medium,35,5.9,22
2021,DDoS Attack,IaaS,Medium,67,6.9,44
2021,Zero-Day Vulnerability,PaaS,Medium,45,4.6,22
2023,Data Breach,IaaS,Medium,29,8.5,36
2024,Container Escape,IaaS,Medium,37,8.0,46
2021,Data Breach,PaaS,High,44,3.8,56
2019,Data Breach,PaaS,High,99,3.4,118
2022,DDoS Attack,SaaS,Low,27,6.8,30
2024,Misconfiguration,SaaS,Low,7,8.8,2
2020,Insider Threat,IaaS,Medium,42,2.0,40
2019,Container Escape,IaaS,Low,8,5.3,4
2023,Container Escape,PaaS,Medium,49,2.0,60
2019,Supply Chain Compromise,IaaS,High,35,3.0,41
2019,DDoS Attack,SaaS,Medium,49,7.9,24
2020,API Abuse,IaaS,Low,5,9.0,2
2019,Malware Injection,PaaS,High,35,8.6,34
2020,Data Breach,PaaS,Low,25,6.9,28
2022,API Abuse,SaaS,Low,8,6.7,9
2021,API Abuse,SaaS,Low,1,9.0,0
2021,Malware Injection,PaaS,High,39,6.6,17
2019,Container Escape,IaaS,Medium,65,3.2,58
2019,Malware Injection,IaaS,Low,1,7.9,0
2020,Malware Injection,SaaS,Medium,16,6.6,16
2019,Container Escape,IaaS,Low,58,7.4,40
2022,Insider Threat,IaaS,Low,7,8.9,4
2023,Supply Chain Compromise,IaaS,Medium,28,7.5,26
2023,Container Escape,PaaS,Low,1,7.2,0
2019,Supply Chain Compromise,IaaS,High,77,5.0,89
2024,Supply Chain Compromise,SaaS,Low,1,10.0,0
2021,Insider Threat,IaaS,Medium,53,5.1,65
2019,Misconfiguration,PaaS,Low,14,5.4,13
2019,Zero-Day Vulnerability,PaaS,Medium,46,7.3,23
2021,Supply Chain Compromise,IaaS,High,79,3.3,47
2021,Supply Chain Compromise,SaaS,Medium,77,5.6,98
2022,API Abuse,IaaS,Medium,46,3.1,23
2022,Malware Injection,SaaS,Low,1,9.7,0
2023,DDoS Attack,IaaS,High,85,3.1,39
2024,Misconfiguration,PaaS,High,29,5.0,31
2019,Phishing,PaaS,Low,1,7.0,0
2021,Insider Threat,IaaS,Low,55,8.1,28
2023,API Abuse,PaaS,Low,1,6.7,0
2024,Misconfiguration,PaaS,Low,1,6.4,0
2023,Insider Threat,PaaS,Low,21,6.4,23
2020,Malware Injection,IaaS,Low,18,8.3,19
2020,Container Escape,IaaS,Low,52,6.6,49
2022,Misconfiguration,IaaS,Low,1,6.6,0
2020,Misconfiguration,PaaS,High,27,1.0,31
2022,Zero-Day Vulnerability,IaaS,Low,41,6.9,24
2020,Zero-Day Vulnerability,IaaS,Medium,61,5.0,35
2019,Container Escape,SaaS,Medium,58,6.8,27
2024,Malware Injection,PaaS,Medium,37,6.1,23
2024,Phishing,PaaS,Low,3,7.4,2
2023,Supply Chain Compromise,PaaS,High,106,3.1,53
2022,API Abuse,SaaS,Medium,56,7.6,32
2020,DDoS Attack,SaaS,Low,26,6.0,19
2023,Container Escape,IaaS,Medium,34,3.4,43
2023,Insider Threat,PaaS,Low,41,6.0,37
2019,Supply Chain Compromise,SaaS,Low,47,8.1,57
2020,Zero-Day Vulnerability,IaaS,Medium,59,6.0,58
2019,Zero-Day Vulnerability,IaaS,High,74,1.5,36
2024,API Abuse,PaaS,Medium,25,2.0,31
2020,API Abuse,IaaS,High,61,5.8,28
2021,Container Escape,IaaS,Low,18,7.4,20
2019,Insider Threat,IaaS,Medium,57,3.9,27
2023,Malware Injection,SaaS,Medium,46,3.7,26
2022,Phishing,IaaS,Medium,73,5.8,76
2024,Zero-Day Vulnerability,IaaS,Low,16,10.0,11
2022,Supply Chain Compromise,PaaS,Low,48,7.1,26
2019,Supply Chain Compromise,SaaS,Low,42,10.0,17
2021,Insider Threat,PaaS,Medium,34,4.6,24
2024,Phishing,IaaS,Low,14,9.2,7
2021,Insider Threat,PaaS,Low,13,6.0,8
2020,DDoS Attack,IaaS,Low,39,6.5,46
2023,Container Escape,PaaS,Low,20,8.6,24
2021,Malware Injection,IaaS,Medium,50,7.7,41
2020,Data Breach,PaaS,Low,41,5.8,41
2020,Malware Injection,IaaS,Low,25,9.5,22
2021,Insider Threat,IaaS,High,54,3.8,28
2020,DDoS Attack,IaaS,High,56,3.7,32
2022,Misconfiguration,SaaS,Medium,35,2.5,19
2023,API Abuse,PaaS,Low,54,8.3,27
2020,Phishing,IaaS,Low,2,6.6,1
2024,Supply Chain Compromise,PaaS,Medium,37,3.4,28
2021,Supply Chain Compromise,PaaS,Medium,57,2.8,31
2021,Container Escape,SaaS,Medium,61,3.7,61
2019,Supply Chain Compromise,PaaS,Medium,69,4.6,61
2023,Phishing,SaaS,Medium,41,5.6,38
2022,Malware Injection,SaaS,High,34,3.4,40
2023,Insider Threat,PaaS,Medium,45,5.2,21
2020,Malware Injection,SaaS,High,70,2.0,45
2019,Malware Injection,PaaS,High,71,7.2,78
2022,Zero-Day Vulnerability,SaaS,Medium,58,5.7,69
2021,Insider Threat,SaaS,Medium,27,5.0,33
2020,Data Breach,SaaS,Low,37,5.7,43
2023,DDoS Attack,PaaS,Medium,73,3.6,39
2020,API Abuse,IaaS,Low,11,9.2,10
2023,Misconfiguration,SaaS,Medium,7,6.0,6
2022,Misconfiguration,IaaS,Medium,59,5.9,47
2020,Malware Injection,PaaS,Low,64,7.9,71
2021,Supply Chain Compromise,IaaS,High,82,3.4,93
2023,Misconfiguration,SaaS,High,68,3.7,76
2019,Phishing,IaaS,High,51,4.8,48
2022,Misconfiguration,IaaS,High,53,2.4,22
2024,Phishing,IaaS,Medium,45,4.5,41
2022,Zero-Day Vulnerability,SaaS,High,60,5.1,51
2020,API Abuse,IaaS,Medium,24,4.1,21
2019,Data Breach,PaaS,Low,42,8.0,21
2019,Malware Injection,SaaS,Medium,31,6.4,13
2024,Data Breach,SaaS,Medium,90,9.3,112
2023,Data Breach,IaaS,Low,2,7.1,2
2024,Container Escape,PaaS,Medium,17,4.5,16
2021,Insider Threat,PaaS,Medium,39,3.1,20
2021,Insider Threat,PaaS,Low,1,3.6,1
2020,Zero-Day Vulnerability,PaaS,Low,45,6.8,46
2020,Phishing,PaaS,High,60,3.1,75
2020,Misconfiguration,IaaS,Low,11,9.3,10
2019,Container Escape,PaaS,Low,1,10.0,0
2020,Supply Chain Compromise,PaaS,Medium,53,6.1,62
2021,Supply Chain Compromise,IaaS,Medium,45,4.2,35
2019,Supply Chain Compromise,PaaS,Low,9,7.9,8
2022,Supply Chain Compromise,IaaS,Medium,61,5.7,32
2020,Phishing,PaaS,Low,13,8.7,11
2021,Insider Threat,IaaS,Medium,29,6.6,16
2022,Insider Threat,IaaS,Low,8,7.6,6
2023,Malware Injection,PaaS,Medium,37,5.6,18
2019,Supply Chain Compromise,IaaS,Low,26,6.1,17
2022,API Abuse,IaaS,Low,13,8.7,13
2019,Zero-Day Vulnerability,PaaS,Medium,63,6.7,80
2021,Data Breach,IaaS,Low,20,8.8,18
2024,Supply Chain Compromise,IaaS,Low,19,8.3,8
2021,Insider Threat,PaaS,Medium,30,3.2,13
2019,Container Escape,SaaS,Low,40,7.2,43
2020,Insider Threat,SaaS,Medium,5,5.8,5
2020,Malware Injection,IaaS,Low,16,6.9,6
2019,Malware Injection,PaaS,Low,8,7.0,8
2022,Supply Chain Compromise,IaaS,Low,42,7.9,27
2020,Misconfiguration,IaaS,Low,29,9.4,14
2022,DDoS Attack,IaaS,Low,30,5.5,33
2019,Phishing,IaaS,Low,8,5.4,7
2024,DDoS Attack,SaaS,Medium,50,2.1,42
2021,API Abuse,SaaS,Low,7,7.2,4
2019,Misconfiguration,IaaS,Medium,45,5.2,39
2023,Container Escape,SaaS,Medium,39,5.7,21
2023,Phishing,PaaS,Low,1,8.5,1
2023,Misconfiguration,PaaS,Low,54,6.5,28
2024,Zero-Day Vulnerability,IaaS,Low,46,6.7,43
2019,Data Breach,IaaS,Medium,41,5.3,45
2024,API Abuse,PaaS,Low,1,5.4,1
2021,Phishing,PaaS,Low,23,5.6,27
2019,Zero-Day Vulnerability,PaaS,Low,30,4.5,31
2019,Zero-Day Vulnerability,PaaS,Medium,28,3.8,33
2020,Malware Injection,IaaS,Medium,1,6.7,0
2022,Insider Threat,IaaS,Low,11,7.0,5
2024,Zero-Day Vulnerability,SaaS,Medium,64,6.2,77
2024,Malware Injection,SaaS,High,30,7.2,37
2021,Container Escape,SaaS,Medium,43,4.6,32
2019,Supply Chain Compromise,PaaS,Medium,50,5.6,52
2022,API Abuse,IaaS,High,68,2.0,32
2022,Misconfiguration,IaaS,Low,41,7.5,22
2022,Insider Threat,IaaS,Low,26,7.5,28
2019,Misconfiguration,SaaS,Medium,1,4.5,0
2020,Data Breach,IaaS,Medium,45,4.7,53
2019,API Abuse,IaaS,Low,17,5.4,19
2021,Misconfiguration,IaaS,Medium,40,4.9,30
2021,Insider Threat,PaaS,High,50,3.8,21
2023,Container Escape,SaaS,Medium,77,5.6,95
2023,Insider Threat,IaaS,Medium,29,6.6,27
2023,Phishing,IaaS,Medium,34,7.9,21
2020,Container Escape,IaaS,Low,40,6.6,22
2019,Data Breach,SaaS,Medium,61,6.9,37
2024,Supply Chain Compromise,SaaS,Low,8,5.1,6
2020,Insider Threat,PaaS,Low,25,6.9,14
2020,Malware Injection,PaaS,Low,16,9.0,11
2023,Supply Chain Compromise,PaaS,Medium,51,7.9,36
2024,Insider Threat,IaaS,Low,27,8.6,34
2024,Zero-Day Vulnerability,IaaS,Low,29,8.2,13
2020,Phishing,SaaS,Medium,61,6.8,49
2021,Data Breach,IaaS,Medium,26,2.9,21
2023,Container Escape,PaaS,Medium,10,5.4,6
2024,Container Escape,PaaS,Medium,41,7.0,35
2021,Container Escape,SaaS,Medium,50,7.9,57
2024,DDoS Attack,IaaS,Low,32,7.9,33
2020,Insider Threat,PaaS,Medium,8,5.2,7
2024,Phishing,IaaS,High,57,4.5,68
2024,Data Breach,IaaS,Low,37,6.7,42
2020,Supply Chain Compromise,SaaS,Medium,77,2.8,64
2021,DDoS Attack,IaaS,Medium,70,7.6,71
2022,DDoS Attack,PaaS,Medium,43,5.2,54
2019,Malware Injection,PaaS,Low,23,7.7,15
2020,API Abuse,SaaS,Medium,26,8.5,28
2019,Malware Injection,IaaS,Low,22,8.3,16
2019,Malware Injection,PaaS,Low,27,7.5,19
2020,DDoS Attack,IaaS,Low,55,5.5,37
2019,DDoS Attack,IaaS,Low,39,4.9,18
2021,Misconfiguration,SaaS,Medium,54,7.7,52
2020,API Abuse,IaaS,High,63,6.2,52
2020,Phishing,IaaS,Medium,51,3.5,51
2019,Container Escape,IaaS,Low,9,6.6,9
2022,Data Breach,SaaS,Medium,40,4.6,32
2022,Container Escape,IaaS,Low,11,7.0,7
2022,Malware Injection,PaaS,Low,13,6.5,7
2019,Zero-Day Vulnerability,PaaS,Medium,40,5.2,50
2021,Container Escape,PaaS,Medium,62,3.4,65
2021,Zero-Day Vulnerability,PaaS,High,54,3.8,39
2023,Supply Chain Compromise,PaaS,Low,33,9.6,30
2024,Insider Threat,SaaS,Medium,7,6.8,4
2019,Malware Injection,SaaS,Low,24,8.1,23
2019,DDoS Attack,PaaS,Low,35,8.5,35
2019,Supply Chain Compromise,PaaS,Low,17,6.8,21
2023,Zero-Day Vulnerability,PaaS,Low,48,9.6,38
2019,Container Escape,IaaS,Low,28,3.4,35
2023,Supply Chain Compromise,SaaS,Medium,43,1.7,32
2019,Container Escape,SaaS,Medium,65,3.2,49
2024,Insider Threat,IaaS,Low,11,8.8,11
2021,DDoS Attack,IaaS,High,103,1.2,87
2022,Phishing,IaaS,Low,20,5.5,25
2020,Phishing,SaaS,Medium,36,8.3,35
2022,Supply Chain Compromise,IaaS,Medium,11,5.8,5
2021,Misconfiguration,IaaS,Low,1,3.8,1
2023,Supply Chain Compromise,IaaS,Low,30,9.3,23
2020,Zero-Day Vulnerability,PaaS,High,71,4.2,35
2019,DDoS Attack,PaaS,High,78,8.9,42
2019,API Abuse,IaaS,Low,8,5.7,9
2024,API Abuse,SaaS,Medium,23,5.6,25
2023,Misconfiguration,SaaS,Low,35,7.9,35
2019,Phishing,SaaS,Low,15,8.2,11
2020,Misconfiguration,PaaS,Low,1,9.8,0
2019,Container Escape,PaaS,Medium,29,7.6,25
2020,API Abuse,IaaS,Low,22,10.0,22
2020,Malware Injection,IaaS,Medium,43,6.3,52
2020,Malware Injection,IaaS,Medium,51,6.6,47
2019,DDoS Attack,SaaS,Low,46,8.6,57
2020,API Abuse,PaaS,Low,23,3.2,27
2019,Misconfiguration,PaaS,Low,6,6.4,6
2019,DDoS Attack,IaaS,Low,22,10.0,21
2022,DDoS Attack,SaaS,Low,8,4.8,3
2023,Supply Chain Compromise,SaaS,High,65,1.5,39
2023,Misconfiguration,IaaS,Medium,21,6.3,25
2023,Container Escape,SaaS,Low,33,5.1,17
2020,Insider Threat,PaaS,Medium,51,5.0,22
2024,Insider Threat,PaaS,Low,1,7.1,0
2019,Malware Injection,PaaS,Medium,42,3.7,18
2024,DDoS Attack,SaaS,Low,15,7.3,11
2020,Malware Injection,PaaS,Low,13,6.6,9
2023,Phishing,PaaS,Low,21,4.5,19
2023,DDoS Attack,IaaS,Low,34,7.3,36
2019,Zero-Day Vulnerability,PaaS,High,73,4.8,87
